Atualizado em: 2025-08-28
"Aeroporto_Origem_Designador_OACI";"Aeroporto_Origem_Nome_UF_Pais ";"Aeroporto_Destino_Designador_OACI";"Aeroporto_Destino_Nome_UF_Pais";"Etapas_Previstas";"Percentuais_de_Cancelamentos";"Percentuais_de_Atrasos_superiores_a_30_minutos";"Percentuais_de_Atrasos_superiores_a_60_minutos"
"SBTC";"HOTEL TRANSAMÉRICA(AERODROMO PRIVADO)(BA, BRASIL)";"SBSP";"CONGONHAS(SP, BRASIL)";"4";"0";"0";"0"
"SBTE";"SENADOR PETRÔNIO PORTELLA(PI, BRASIL)";"SBBR";"PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL)";"89";"0";"3,37";"1,12"
"SBTE";"SENADOR PETRÔNIO PORTELLA(PI, BRASIL)";"SBCF";"TANCREDO NEVES(MG, BRASIL)";"30";"0";"3,33";"3,33"
"SBTE";"SENADOR PETRÔNIO PORTELLA(PI, BRASIL)";"SBFZ";"PINTO MARTINS(CE, BRASIL)";"31";"0";"0";"0"
"SBTE";"SENADOR PETRÔNIO PORTELLA(PI, BRASIL)";"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"102";"1,96";"7";"1"
"SBTE";"SENADOR PETRÔNIO PORTELLA(PI, BRASIL)";"SBKP";"VIRACOPOS(SP, BRASIL)";"31";"9,68";"0";"0"
"SBTE";"SENADOR PETRÔNIO PORTELLA(PI, BRASIL)";"SBRF";"GUARARAPES - GILBERTO FREYRE(PE, BRASIL)";"23";"4,35";"4,55";"0"
"SBTF";"TEFÉ(AM, BRASIL)";"SBEG";"EDUARDO GOMES(AM, BRASIL)";"22";"0";"0";"0"
"SBTF";"TEFÉ(AM, BRASIL)";"SWTP";"SANTA IZABEL DO RIO NEGRO(AM, BRASIL)";"9";"0";"0";"0"
"SBTT";"TABATINGA(AM, BRASIL)";"SBEG";"EDUARDO GOMES(AM, BRASIL)";"49";"0";"4,08";"2,04"
"SBTU";"TUCURUÍ(PA, BRASIL)";"SBBE";"INTERNACIONAL DE BELÉM/VAL DE CANS/JÚLIO CEZAR RIBEIRO(PA, BRASIL)";"10";"0";"0";"0"
"SBUA";"SÃO GABRIEL DA CACHOEIRA(AM, BRASIL)";"SBEG";"EDUARDO GOMES(AM, BRASIL)";"14";"0";"0";"0"
"SBUG";"RUBEM BERTA(RS, BRASIL)";"SBPA";"SALGADO FILHO(RS, BRASIL)";"17";"11,76";"13,33";"0"
"SBUL";"TEN CEL AVIADOR CÉSAR BOMBONATO(MG, BRASIL)";"SBCF";"TANCREDO NEVES(MG, BRASIL)";"120";"0";"11,67";"3,33"
"SBUL";"TEN CEL AVIADOR CÉSAR BOMBONATO(MG, BRASIL)";"SBFZ";"PINTO MARTINS(CE, BRASIL)";"8";"0";"0";"0"
"SBUL";"TEN CEL AVIADOR CÉSAR BOMBONATO(MG, BRASIL)";"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"93";"2,15";"10,99";"3,3"
"SBUL";"TEN CEL AVIADOR CÉSAR BOMBONATO(MG, BRASIL)";"SBJP";"PRESIDENTE CASTRO PINTO(PB, BRASIL)";"4";"0";"50";"25"
"SBUL";"TEN CEL AVIADOR CÉSAR BOMBONATO(MG, BRASIL)";"SBKP";"VIRACOPOS(SP, BRASIL)";"125";"0,8";"6,45";"3,23"
"SBUL";"TEN CEL AVIADOR CÉSAR BOMBONATO(MG, BRASIL)";"SBMO";"ZUMBI DOS PALMARES(AL, BRASIL)";"13";"0";"0";"0"
"SBUL";"TEN CEL AVIADOR CÉSAR BOMBONATO(MG, BRASIL)";"SBPS";"PORTO SEGURO(BA, BRASIL)";"18";"0";"0";"0"
"SBUL";"TEN CEL AVIADOR CÉSAR BOMBONATO(MG, BRASIL)";"SBRF";"GUARARAPES - GILBERTO FREYRE(PE, BRASIL)";"13";"0";"0";"0"
"SBUL";"TEN CEL AVIADOR CÉSAR BOMBONATO(MG, BRASIL)";"SBSG";"GOVERNADOR ALUIZIO ALVES(RN, BRASIL)";"4";"0";"0";"0"
"SBUL";"TEN CEL AVIADOR CÉSAR BOMBONATO(MG, BRASIL)";"SBSP";"CONGONHAS(SP, BRASIL)";"81";"0";"1,23";"1,23"
"SBUR";"MÁRIO DE ALMEIDA FRANCO(MG, BRASIL)";"SBCF";"TANCREDO NEVES(MG, BRASIL)";"30";"3,33";"6,9";"3,45"
"SBUR";"MÁRIO DE ALMEIDA FRANCO(MG, BRASIL)";"SBJP";"PRESIDENTE CASTRO PINTO(PB, BRASIL)";"5";"0";"0";"0"
"SBUR";"MÁRIO DE ALMEIDA FRANCO(MG, BRASIL)";"SBKP";"VIRACOPOS(SP, BRASIL)";"31";"0";"3,23";"0"
"SBUR";"MÁRIO DE ALMEIDA FRANCO(MG, BRASIL)";"SBMO";"ZUMBI DOS PALMARES(AL, BRASIL)";"4";"0";"0";"0"
"SBVC";"GLAUBER DE ANDRADE ROCHA(BA, BRASIL)";"SBCF";"TANCREDO NEVES(MG, BRASIL)";"44";"0";"6,82";"6,82"
"SBVC";"GLAUBER DE ANDRADE ROCHA(BA, BRASIL)";"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"108";"1,85";"8,49";"4,72"
"SBVC";"GLAUBER DE ANDRADE ROCHA(BA, BRASIL)";"SBSV";"DEPUTADO LUÍS EDUARDO MAGALHÃES(BA, BRASIL)";"13";"0";"0";"0"
"SBVG";"MAJOR BRIGADEIRO TROMPOWSKY(MG, BRASIL)";"SBCF";"TANCREDO NEVES(MG, BRASIL)";"14";"14,29";"25";"16,67"
"SBVH";"BRIGADEIRO CAMARÃO(RO, BRASIL)";"SBKP";"VIRACOPOS(SP, BRASIL)";"8";"0";"12,5";"0"
"SBVT";"EURICO DE AGUIAR SALLES(ES, BRASIL)";"SBBR";"PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL)";"54";"0";"14,81";"3,7"
"SBVT";"EURICO DE AGUIAR SALLES(ES, BRASIL)";"SBCF";"TANCREDO NEVES(MG, BRASIL)";"126";"0,79";"4,8";"0,8"
"SBVT";"EURICO DE AGUIAR SALLES(ES, BRASIL)";"SBGL";"AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃO) - ANTONIO CARLOS JOBIM(RJ, BRASIL)";"293";"2,05";"3,14";"1,74"
"SBVT";"EURICO DE AGUIAR SALLES(ES, BRASIL)";"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"267";"2,25";"8,43";"3,45"
"SBVT";"EURICO DE AGUIAR SALLES(ES, BRASIL)";"SBKP";"VIRACOPOS(SP, BRASIL)";"111";"3,6";"6,54";"2,8"
"SBVT";"EURICO DE AGUIAR SALLES(ES, BRASIL)";"SBRF";"GUARARAPES - GILBERTO FREYRE(PE, BRASIL)";"39";"0";"5,13";"0"
"SBVT";"EURICO DE AGUIAR SALLES(ES, BRASIL)";"SBSP";"CONGONHAS(SP, BRASIL)";"185";"0";"2,7";"1,62"
"SBVT";"EURICO DE AGUIAR SALLES(ES, BRASIL)";"SBSV";"DEPUTADO LUÍS EDUARDO MAGALHÃES(BA, BRASIL)";"52";"0";"3,85";"0"
"SBZM";"REGIONAL DA ZONA DA MATA(MG, BRASIL)";"SBKP";"VIRACOPOS(SP, BRASIL)";"31";"0";"0";"0"
"SBZM";"REGIONAL DA ZONA DA MATA(MG, BRASIL)";"SBSP";"CONGONHAS(SP, BRASIL)";"27";"0";"3,7";"3,7"
"SCEL";"COMODORO ARTURO MERINO BENÍTEZ INTERNATIONAL AIRPORT(CHILE)";"SAEZ";"MINISTRO PISTARINI INTERNATIONAL AIRPORT (EZEIZA INTERNATIONAL AIRPORT)(ARGENTINA)";"9";"0";"11,11";"11,11"
"SCEL";"COMODORO ARTURO MERINO BENÍTEZ INTERNATIONAL AIRPORT(CHILE)";"SBBR";"PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL)";"31";"0";"6,45";"6,45"
"SCEL";"COMODORO ARTURO MERINO BENÍTEZ INTERNATIONAL AIRPORT(CHILE)";"SBCF";"TANCREDO NEVES(MG, BRASIL)";"44";"0";"6,82";"0"
"SCEL";"COMODORO ARTURO MERINO BENÍTEZ INTERNATIONAL AIRPORT(CHILE)";"SBCT";"AFONSO PENA(PR, BRASIL)";"30";"0";"10";"0"
"SCEL";"COMODORO ARTURO MERINO BENÍTEZ INTERNATIONAL AIRPORT(CHILE)";"SBFI";"CATARATAS(PR, BRASIL)";"17";"0";"17,65";"5,88"
"SCEL";"COMODORO ARTURO MERINO BENÍTEZ INTERNATIONAL AIRPORT(CHILE)";"SBFL";"HERCÍLIO LUZ(SC, BRASIL)";"161";"8,07";"8,78";"2,7"
"SCEL";"COMODORO ARTURO MERINO BENÍTEZ INTERNATIONAL AIRPORT(CHILE)";"SBFZ";"PINTO MARTINS(CE, BRASIL)";"4";"0";"0";"0"
"SCEL";"COMODORO ARTURO MERINO BENÍTEZ INTERNATIONAL AIRPORT(CHILE)";"SBGL";"AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃO) - ANTONIO CARLOS JOBIM(RJ, BRASIL)";"291";"0,69";"11,76";"6,57"
"SCEL";"COMODORO ARTURO MERINO BENÍTEZ INTERNATIONAL AIRPORT(CHILE)";"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"610";"1,15";"10,78";"5,8"
"SCEL";"COMODORO ARTURO MERINO BENÍTEZ INTERNATIONAL AIRPORT(CHILE)";"SBPA";"SALGADO FILHO(RS, BRASIL)";"45";"2,22";"9,09";"4,55"
"SCEL";"COMODORO ARTURO MERINO BENÍTEZ INTERNATIONAL AIRPORT(CHILE)";"SBRF";"GUARARAPES - GILBERTO FREYRE(PE, BRASIL)";"4";"0";"0";"0"
"SCEL";"COMODORO ARTURO MERINO BENÍTEZ INTERNATIONAL AIRPORT(CHILE)";"SUMU";"CARRASCO GRAL. CESÁREO L. BERISSO INTERNATIONAL AIRPORT(URUGUAI)";"21";"0";"19,05";"4,76"
"SDLO";"FAZENDA PONTAL(BA, BRASIL)";"SBSV";"DEPUTADO LUÍS EDUARDO MAGALHÃES(BA, BRASIL)";"4";"0";"0";"0"
"SDLO";"FAZENDA PONTAL(BA, BRASIL)";"SNCL";"LORENZO(BA, BRASIL)";"5";"20";"0";"0"
"SDOW";"OURILÂNDIA DO NORTE(PA, BRASIL)";"SBCJ";"CARAJÁS(PA, BRASIL)";"13";"7,69";"0";"0"
"SGAS";"SILVIO PETTIROSSI INTERNATIONAL AIRPORT(PARAGUAI)";"SBCT";"AFONSO PENA(PR, BRASIL)";"9";"0";"0";"0"
"SGAS";"SILVIO PETTIROSSI INTERNATIONAL AIRPORT(PARAGUAI)";"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"82";"0";"7,32";"3,66"
"SGAS";"SILVIO PETTIROSSI INTERNATIONAL AIRPORT(PARAGUAI)";"SBKP";"VIRACOPOS(SP, BRASIL)";"17";"0";"0";"0"
"SGAS";"SILVIO PETTIROSSI INTERNATIONAL AIRPORT(PARAGUAI)";"SBRF";"GUARARAPES - GILBERTO FREYRE(PE, BRASIL)";"9";"0";"22,22";"22,22"
"SIMK";"TENENTE LUND PRESETTO(SP, BRASIL)";"SBKP";"VIRACOPOS(SP, BRASIL)";"8";"0";"0";"0"
"SJZA";"PEDRO VIEIRA MOREIRA(PB, BRASIL)";"SBRF";"GUARARAPES - GILBERTO FREYRE(PE, BRASIL)";"9";"44,44";"20";"20"
"SKBO";"EL DORADO INTERNATIONAL AIRPORT(COLÔMBIA)";"SAEZ";"MINISTRO PISTARINI INTERNATIONAL AIRPORT (EZEIZA INTERNATIONAL AIRPORT)(ARGENTINA)";"1";"100";"0";"0"
"SKBO";"EL DORADO INTERNATIONAL AIRPORT(COLÔMBIA)";"SBBR";"PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL)";"18";"0";"0";"0"
"SKBO";"EL DORADO INTERNATIONAL AIRPORT(COLÔMBIA)";"SBEG";"EDUARDO GOMES(AM, BRASIL)";"40";"2,5";"7,69";"5,13"
"SKBO";"EL DORADO INTERNATIONAL AIRPORT(COLÔMBIA)";"SBGL";"AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃO) - ANTONIO CARLOS JOBIM(RJ, BRASIL)";"61";"0";"3,28";"1,64"
"SKBO";"EL DORADO INTERNATIONAL AIRPORT(COLÔMBIA)";"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"186";"1,61";"3,83";"3,28"
"SLVR";"VIRU VIRU INTERNATIONAL AIRPORT(BOLÍVIA)";"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"65";"3,08";"19,05";"9,52"
"SMJP";"JOHAN ADOLF PENGEL INTERNATIONAL AIRPORT (ZANDERIJ INT´L)(SURINAME)";"SBBE";"INTERNACIONAL DE BELÉM/VAL DE CANS/JÚLIO CEZAR RIBEIRO(PA, BRASIL)";"13";"0";"53,85";"46,15"
"SNAB";"ARARIPINA(PE, BRASIL)";"SBRF";"GUARARAPES - GILBERTO FREYRE(PE, BRASIL)";"9";"22,22";"42,86";"14,29"
"SNBA";"CHAFEI AMSEI (SBBT*)(SP, BRASIL)";"SBKP";"VIRACOPOS(SP, BRASIL)";"9";"22,22";"0";"0"
"SNBR";"BARREIRAS(BA, BRASIL)";"SBCF";"TANCREDO NEVES(MG, BRASIL)";"31";"0";"0";"0"
"SNBR";"BARREIRAS(BA, BRASIL)";"SBSV";"DEPUTADO LUÍS EDUARDO MAGALHÃES(BA, BRASIL)";"31";"0";"0";"0"
"SNCL";"LORENZO(BA, BRASIL)";"SBSV";"DEPUTADO LUÍS EDUARDO MAGALHÃES(BA, BRASIL)";"49";"26,53";"0";"0"
"SNCL";"LORENZO(BA, BRASIL)";"SDLO";"FAZENDA PONTAL(BA, BRASIL)";"4";"0";"0";"0"
"SNDV";"BRIGADEIRO CABRAL(MG, BRASIL)";"SBCF";"TANCREDO NEVES(MG, BRASIL)";"27";"3,7";"3,85";"0"
"SNDV";"BRIGADEIRO CABRAL(MG, BRASIL)";"SBKP";"VIRACOPOS(SP, BRASIL)";"27";"14,81";"8,7";"8,7"
"SNEB";"AERODROMO DE PARAGOMINAS(PA, BRASIL)";"SBBE";"INTERNACIONAL DE BELÉM/VAL DE CANS/JÚLIO CEZAR RIBEIRO(PA, BRASIL)";"10";"0";"0";"0"
"SNGI";"GUANAMBI(BA, BRASIL)";"SBCF";"TANCREDO NEVES(MG, BRASIL)";"31";"3,23";"3,33";"3,33"
"SNGI";"GUANAMBI(BA, BRASIL)";"SBSV";"DEPUTADO LUÍS EDUARDO MAGALHÃES(BA, BRASIL)";"13";"0";"7,69";"0"
"SNGN";"GARANHUNS(PE, BRASIL)";"SBRF";"GUARARAPES - GILBERTO FREYRE(PE, BRASIL)";"9";"33,33";"33,33";"33,33"
"SNHS";"SANTA MAGALHÃES(PE, BRASIL)";"SBRF";"GUARARAPES - GILBERTO FREYRE(PE, BRASIL)";"9";"11,11";"25";"25"
"SNJM";"AEROPORTO ELIAS BREDER(MG, BRASIL)";"SBCF";"TANCREDO NEVES(MG, BRASIL)";"10";"10";"0";"0"
"SNLN";"AERÓDROMO MUNICIPAL DE LINHARES(ES, BRASIL)";"SBCF";"TANCREDO NEVES(MG, BRASIL)";"13";"7,69";"25";"0"
"SNMZ";"PORTO DE MOZ(PA, BRASIL)";"SBBE";"INTERNACIONAL DE BELÉM/VAL DE CANS/JÚLIO CEZAR RIBEIRO(PA, BRASIL)";"9";"0";"0";"0"
"SNPD";"PATOS DE MINAS(MG, BRASIL)";"SBAX";"ROMEU ZEMA(MG, BRASIL)";"9";"0";"0";"0"
"SNPD";"PATOS DE MINAS(MG, BRASIL)";"SBCF";"TANCREDO NEVES(MG, BRASIL)";"13";"0";"0";"0"
"SNRU";"OSCAR LARANJEIRAS(PE, BRASIL)";"SBRF";"GUARARAPES - GILBERTO FREYRE(PE, BRASIL)";"9";"44,44";"40";"20"
"SNSM";"SALINÓPOLIS(PA, BRASIL)";"SBBE";"INTERNACIONAL DE BELÉM/VAL DE CANS/JÚLIO CEZAR RIBEIRO(PA, BRASIL)";"8";"12,5";"0";"0"
"SNSS";"SALINAS(MG, BRASIL)";"SBCF";"TANCREDO NEVES(MG, BRASIL)";"16";"6,25";"13,33";"0"
"SNTO";"JUSCELINO KUBITSCHECK(MG, BRASIL)";"SBCF";"TANCREDO NEVES(MG, BRASIL)";"17";"5,88";"6,25";"0"
"SNTS";"PEREGRINO FILHO(PB, BRASIL)";"SBRF";"GUARARAPES - GILBERTO FREYRE(PE, BRASIL)";"18";"44,44";"20";"20"
"SNVS";"BREVES(PA, BRASIL)";"SBBE";"INTERNACIONAL DE BELÉM/VAL DE CANS/JÚLIO CEZAR RIBEIRO(PA, BRASIL)";"9";"33,33";"0";"0"
"SNZR";"PARACATU(MG, BRASIL)";"SBCF";"TANCREDO NEVES(MG, BRASIL)";"9";"22,22";"28,57";"0"
"SOCA";"CAYENNE-ROCHAMBEAU AIRPORT(GUIANA FRANCESA)";"SBBE";"INTERNACIONAL DE BELÉM/VAL DE CANS/JÚLIO CEZAR RIBEIRO(PA, BRASIL)";"4";"0";"25";"25"
"SOCA";"CAYENNE-ROCHAMBEAU AIRPORT(GUIANA FRANCESA)";"SBFZ";"PINTO MARTINS(CE, BRASIL)";"5";"0";"0";"0"
"SPJC";"JORGE CHÁVEZ INTERNATIONAL AIRPORT(PERU)";"SBBR";"PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL)";"31";"3,23";"20";"6,67"
"SPJC";"JORGE CHÁVEZ INTERNATIONAL AIRPORT(PERU)";"SBCT";"AFONSO PENA(PR, BRASIL)";"13";"7,69";"8,33";"0"
"SPJC";"JORGE CHÁVEZ INTERNATIONAL AIRPORT(PERU)";"SBGL";"AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃO) - ANTONIO CARLOS JOBIM(RJ, BRASIL)";"31";"0";"9,68";"3,23"
"SPJC";"JORGE CHÁVEZ INTERNATIONAL AIRPORT(PERU)";"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"155";"1,29";"11,11";"6,54"
"SPJC";"JORGE CHÁVEZ INTERNATIONAL AIRPORT(PERU)";"SBPA";"SALGADO FILHO(RS, BRASIL)";"17";"0";"29,41";"11,76"
"SSGG";"Tancredo Thomas de Faria(PR, BRASIL)";"SBCT";"AFONSO PENA(PR, BRASIL)";"17";"5,88";"6,25";"0"
"SSGY";"GUAÍRA(PR, BRASIL)";"SBCT";"AFONSO PENA(PR, BRASIL)";"14";"14,29";"25";"25"
"SSKW";"CACOAL(RO, BRASIL)";"SBKP";"VIRACOPOS(SP, BRASIL)";"9";"11,11";"0";"0"
"SSOU";"ARIPUANÃ(MT, BRASIL)";"SBCY";"MARECHAL RONDON(MT, BRASIL)";"23";"13,04";"5";"0"
"SSUM";"ORLANDO DE CARVALHO(PR, BRASIL)";"SBCT";"AFONSO PENA(PR, BRASIL)";"13";"7,69";"16,67";"0"
"SSUV";"JOSÉ CLETO(PR, BRASIL)";"SBCT";"AFONSO PENA(PR, BRASIL)";"10";"40";"33,33";"0"
"SSVL";"TELÊMACO BORBA (SBTL*)(PR, BRASIL)";"SBCT";"AFONSO PENA(PR, BRASIL)";"13";"53,85";"33,33";"0"
"SULS";"C/C CARLOS A. CURBELO DE LAGUNA DEL SAUCE INTERNATIONAL AIRPORT(URUGUAI)";"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"9";"0";"22,22";"11,11"
"SUMU";"CARRASCO GRAL. CESÁREO L. BERISSO INTERNATIONAL AIRPORT(URUGUAI)";"SBCT";"AFONSO PENA(PR, BRASIL)";"9";"0";"22,22";"22,22"
"SUMU";"CARRASCO GRAL. CESÁREO L. BERISSO INTERNATIONAL AIRPORT(URUGUAI)";"SBGL";"AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃO) - ANTONIO CARLOS JOBIM(RJ, BRASIL)";"60";"3,33";"8,62";"5,17"
"SUMU";"CARRASCO GRAL. CESÁREO L. BERISSO INTERNATIONAL AIRPORT(URUGUAI)";"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"124";"6,45";"18,1";"13,79"
"SUMU";"CARRASCO GRAL. CESÁREO L. BERISSO INTERNATIONAL AIRPORT(URUGUAI)";"SBKP";"VIRACOPOS(SP, BRASIL)";"22";"0";"13,64";"13,64"
"SUMU";"CARRASCO GRAL. CESÁREO L. BERISSO INTERNATIONAL AIRPORT(URUGUAI)";"SBRF";"GUARARAPES - GILBERTO FREYRE(PE, BRASIL)";"9";"0";"33,33";"22,22"
"SUMU";"CARRASCO GRAL. CESÁREO L. BERISSO INTERNATIONAL AIRPORT(URUGUAI)";"SBSV";"DEPUTADO LUÍS EDUARDO MAGALHÃES(BA, BRASIL)";"9";"0";"11,11";"11,11"
"SUMU";"CARRASCO GRAL. CESÁREO L. BERISSO INTERNATIONAL AIRPORT(URUGUAI)";"SCEL";"COMODORO ARTURO MERINO BENÍTEZ INTERNATIONAL AIRPORT(CHILE)";"21";"4,76";"10";"5"
"SVMI";"SIMÓN BOLÍVAR INTERNATIONAL AIRPORT (MAIQUETIA INTERNATIONAL AIRPORT)(VENEZUELA)";"SLVR";"VIRU VIRU INTERNATIONAL AIRPORT(BOLÍVIA)";"1";"100";"0";"0"
"SWBR";"BORBA(AM, BRASIL)";"SBEG";"EDUARDO GOMES(AM, BRASIL)";"8";"0";"0";"0"
"SWKO";"COARI(AM, BRASIL)";"SBEG";"EDUARDO GOMES(AM, BRASIL)";"17";"5,88";"12,5";"6,25"
"SWLB";"LÁBREA(AM, BRASIL)";"SWKO";"COARI(AM, BRASIL)";"8";"12,5";"28,57";"14,29"
"SWMW";"MAUÉS(AM, BRASIL)";"SBEG";"EDUARDO GOMES(AM, BRASIL)";"9";"0";"0";"0"
"SWPI";"JÚLIO BÉLEM(AM, BRASIL)";"SBEG";"EDUARDO GOMES(AM, BRASIL)";"27";"3,7";"0";"0"
"SWTP";"SANTA IZABEL DO RIO NEGRO(AM, BRASIL)";"SBTF";"TEFÉ(AM, BRASIL)";"9";"0";"0";"0"
"SWYN";"PRAINHA(AM, BRASIL)";"SBMY";"MANICORÉ(AM, BRASIL)";"10";"40";"33,33";"16,67"
"TNCA";"QUEEN BEATRIX INTERNATIONAL AIRPORT(ARUBA)";"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"13";"0";"23,08";"15,38"
"TNCC";"HATO INTERNATIONAL AIRPORT(CURAÇAO)";"KFLL";"FORT LAUDERDALE-HOLLYWOOD INTERNATIONAL AIRPORT(ESTADOS UNIDOS DA AMÉRICA)";"17";"0";"5,88";"0"
"TNCC";"HATO INTERNATIONAL AIRPORT(CURAÇAO)";"SBCF";"TANCREDO NEVES(MG, BRASIL)";"18";"0";"0";"0"
"ZBAA";"BEIJING CAPITAL INTERNATIONAL AIRPORT(CHINA)";"LEMD";"ADOLFO SUÁREZ MADRID-BARAJAS AIRPORT(ESPANHA)";"14";"0";"14,29";"7,14"
